pattern,count
"{'eggs', 'tomatoes'}",90
"{'green tea', 'tomatoes'}",90
"{'tomatoes', 'milk'}",103
"{'chocolate', 'tomatoes'}",105
"{'frozen vegetables', 'tomatoes'}",117
"{'spaghetti', 'tomatoes'}",155
"{'tomatoes', 'mineral water'}",179
{'low fat yogurt'},491
"{'low fat yogurt', 'frozen vegetables'}",75
"{'low fat yogurt', 'milk'}",97
"{'low fat yogurt', 'french fries'}",100
"{'low fat yogurt', 'chocolate'}",108
"{'low fat yogurt', 'spaghetti'}",111
"{'low fat yogurt', 'eggs'}",118
"{'low fat yogurt', 'mineral water'}",168
{'shrimp'},511
"{'french fries', 'shrimp'}",75
"{'pancakes', 'shrimp'}",79
"{'green tea', 'shrimp'}",84
"{'ground beef', 'shrimp'}",86
"{'eggs', 'shrimp'}",106
"{'frozen vegetables', 'shrimp'}",123
"{'milk', 'shrimp'}",132
"{'chocolate', 'shrimp'}",135
"{'spaghetti', 'shrimp'}",157
"{'mineral water', 'shrimp'}",173
{'cake'},534
"{'frozen vegetables', 'cake'}",77
"{'burgers', 'cake'}",85
"{'cake', 'pancakes'}",89
"{'cake', 'milk'}",98
"{'cake', 'chocolate'}",100
"{'cake', 'green tea'}",106
"{'french fries', 'cake'}",112
"{'cake', 'spaghetti'}",136
"{'cake', 'eggs'}",138
"{'cake', 'mineral water'}",194
{'burgers'},589
"{'burgers', 'pancakes'}",77
"{'frozen vegetables', 'burgers'}",79
"{'burgers', 'ground beef'}",90
"{'burgers', 'chocolate'}",127
"{'burgers', 'green tea'}",129
"{'burgers', 'milk'}",132
"{'french fries', 'burgers'}",152
"{'burgers', 'spaghetti'}",157
"{'burgers', 'mineral water'}",179
"{'burgers', 'eggs'}",187
{'pancakes'},646
"{'frozen vegetables', 'pancakes'}",101
"{'pancakes', 'ground beef'}",108
"{'pancakes', 'milk'}",120
"{'green tea', 'pancakes'}",122
"{'french fries', 'pancakes'}",144
"{'chocolate', 'pancakes'}",149
"{'eggs', 'pancakes'}",157
"{'spaghetti', 'pancakes'}",187
"{'spaghetti', 'pancakes', 'mineral water'}",86
"{'pancakes', 'mineral water'}",252
{'frozen vegetables'},672
"{'frozen vegetables', 'green tea'}",108
"{'frozen vegetables', 'ground beef'}",127
"{'french fries', 'frozen vegetables'}",142
"{'frozen vegetables', 'eggs'}",160
"{'frozen vegetables', 'chocolate'}",171
"{'frozen vegetables', 'milk'}",176
"{'frozen vegetables', 'mineral water', 'milk'}",83
"{'frozen vegetables', 'spaghetti'}",202
"{'frozen vegetables', 'spaghetti', 'mineral water'}",90
"{'frozen vegetables', 'mineral water'}",261
{'ground beef'},703
"{'french fries', 'ground beef'}",104
"{'green tea', 'ground beef'}",110
"{'eggs', 'ground beef'}",149
"{'eggs', 'ground beef', 'mineral water'}",75
"{'ground beef', 'milk'}",164
"{'mineral water', 'ground beef', 'milk'}",83
"{'chocolate', 'ground beef'}",172
"{'chocolate', 'ground beef', 'mineral water'}",82
"{'spaghetti', 'ground beef'}",289
"{'spaghetti', 'ground beef', 'mineral water'}",128
"{'ground beef', 'mineral water'}",304
{'green tea'},870
"{'green tea', 'milk'}",129
"{'chocolate', 'green tea'}",175
"{'eggs', 'green tea'}",181
"{'spaghetti', 'green tea'}",199
"{'french fries', 'green tea'}",209
"{'green tea', 'mineral water'}",223
{'milk'},878
"{'french fries', 'milk'}",175
"{'eggs', 'milk'}",218
"{'mineral water', 'eggs', 'milk'}",97
"{'chocolate', 'milk'}",230
"{'chocolate', 'spaghetti', 'milk'}",82
"{'mineral water', 'chocolate', 'milk'}",103
"{'spaghetti', 'milk'}",259
"{'mineral water', 'spaghetti', 'milk'}",117
"{'mineral water', 'milk'}",350
{'french fries'},994
"{'french fries', 'spaghetti'}",206
"{'french fries', 'spaghetti', 'mineral water'}",76
"{'french fries', 'chocolate'}",238
"{'french fries', 'eggs'}",240
"{'french fries', 'mineral water'}",248
{'chocolate'},1050
"{'chocolate', 'eggs'}",239
"{'spaghetti', 'chocolate', 'eggs'}",79
"{'chocolate', 'eggs', 'mineral water'}",99
"{'chocolate', 'spaghetti'}",287
"{'chocolate', 'spaghetti', 'mineral water'}",118
"{'chocolate', 'mineral water'}",374
{'eggs'},1072
"{'spaghetti', 'eggs'}",266
"{'spaghetti', 'eggs', 'mineral water'}",107
"{'eggs', 'mineral water'}",361
{'spaghetti'},1186
"{'spaghetti', 'mineral water'}",439
{'mineral water'},1545
